task,model,target,validation_metric,validation_score,params,feature_group
regression,hist_gradient_boosting,future_vol_21d,rmse,0.0073550077926420885,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 15}",price
regression,hist_gradient_boosting,future_vol_21d,rmse,0.007594636673156485,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 31}",price
regression,hist_gradient_boosting,future_vol_21d,rmse,0.007924367058196278,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 15}",price
regression,hist_gradient_boosting,future_vol_21d,rmse,0.00804027466806998,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 200, 'max_leaf_nodes': 31}",price
regression,hist_gradient_boosting,future_vol_21d,rmse,0.007697735397498168,"{'l2_regularization': 0.1, 'learning_rate': 0.05, 'max_iter': 100, 'max_leaf_nodes': 15}",price
regression,hist_gradient_boosting,future_vol_21d,rmse,0.00803495592703162,"{'l2_regularization': 0.1, 'learning_rate': 0.05, 'max_iter': 100, 'max_leaf_nodes': 31}",price
regression,hist_gradient_boosting,future_vol_21d,rmse,0.00821085042134091,"{'l2_regularization': 0.1, 'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 15}",price
regression,hist_gradient_boosting,future_vol_21d,rmse,0.008270354829727416,"{'l2_regularization': 0.1, 'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 31}",price
regression,hist_gradient_boosting,future_vol_21d,rmse,0.00825174044577493,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 15}",price
regression,hist_gradient_boosting,future_vol_21d,rmse,0.008404065496934544,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_iter': 100, 'max_leaf_nodes': 31}",price
regression,hist_gradient_boosting,future_vol_21d,rmse,0.008670013346088652,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_iter': 200, 'max_leaf_nodes': 15}",price
regression,hist_gradient_boosting,future_vol_21d,rmse,0.008803842602821141,"{'l2_regularization': 0.1, 'learning_rate': 0.1, 'max_iter': 200, 'max_leaf_nodes': 31}",price
classification,logistic,high_vol_21d,roc_auc,0.9531434911242603,{'C': 0.1},price
classification,logistic,high_vol_21d,roc_auc,0.9518860946745562,{'C': 1.0},price
classification,logistic,high_vol_21d,roc_auc,0.9517751479289942,{'C': 10.0},price
