task,candidate,candidate_model,baseline,baseline_model,mean_delta_rmse,ci_low,ci_high,mean_delta_roc_auc
regression,price_climatebert,random_forest,price,random_forest,-0.00018682723359007519,-0.00035570716319692855,-2.314532272901871e-05,
classification,price_keyword,hist_gradient_boosting,price,gradient_boosting,,-0.0178203054897069,0.003954006109077261,-0.007248275501067096
