predicted_vol_quintile,stock_weeks,avg_realized_vol,std_realized_vol,avg_predicted_vol,avg_forward_return,prediction_model,feature_group,model
1,156,0.010269722701661738,0.003938309985513549,0.011078150639082513,0.012701220760012535,price_baseline,price,random_forest
2,156,0.013099338497620384,0.004422335543154301,0.013834122900305926,0.013779509509510238,price_baseline,price,random_forest
3,104,0.013865190965218458,0.0044259921661724275,0.016055936650171146,0.016426841210775704,price_baseline,price,random_forest
4,156,0.01929161441021255,0.007546938211800395,0.021981336607639814,0.0400443757039301,price_baseline,price,random_forest
5,156,0.02823968626713911,0.009389492048846418,0.032395525238514904,0.07685432466136091,price_baseline,price,random_forest
1,156,0.01001312642294994,0.0038629898144928623,0.011102152884963143,0.01557431296677925,best_news_augmented,price_climatebert,random_forest
2,156,0.013103090519958723,0.004410992051015096,0.014657793670203265,0.008771189663469754,best_news_augmented,price_climatebert,random_forest
3,104,0.01418669001728668,0.004728113826926493,0.017317472318094138,0.02040901765718869,best_news_augmented,price_climatebert,random_forest
4,156,0.0191461697711921,0.00684198522490029,0.022831025581423366,0.04051950861228983,best_news_augmented,price_climatebert,random_forest
5,156,0.028423642461154204,0.009559277067800484,0.0327435248440823,0.07585963509466628,best_news_augmented,price_climatebert,random_forest
