task,metric,feature_group,untuned_model,untuned_value,tuned_model,tuned_value,improvement
regression,rmse,price,random_forest,0.0071360032521912,hist_gradient_boosting,0.00644081582839999,0.0006951874237912103
regression,rmse,price_climatebert,gradient_boosting,0.0072270589661895,hist_gradient_boosting,0.006496007464217341,0.0007310515019721591
regression,rmse,price_all_news,hist_gradient_boosting,0.008019703065428,hist_gradient_boosting,0.006542438419900666,0.0014772646455273337
regression,rmse,full,hist_gradient_boosting,0.008019703065428,hist_gradient_boosting,0.006542438419900666,0.0014772646455273337
classification,roc_auc,price,gradient_boosting,0.9095460428994084,hist_gradient_boosting,0.912287352071006,0.002741309171597539
classification,roc_auc,price_climatebert,hist_gradient_boosting,0.90208025147929,hist_gradient_boosting,0.9136834319526627,0.01160318047337261
classification,roc_auc,price_all_news,hist_gradient_boosting,0.9078217455621302,hist_gradient_boosting,0.9147651627218935,0.00694341715976321
classification,roc_auc,full,hist_gradient_boosting,0.9078217455621302,hist_gradient_boosting,0.9147651627218935,0.00694341715976321
